"Total energy consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"404,939","411,387","438,300","473,278","513,324","511,644","566,410","579,960","645,521","684,793","746,912","786,107","830,744","847,974","817,314","771,990","778,923","819,170","849,268","877,571","833,876","817,881","814,290","819,939","858,698","837,167","846,367","868,802","917,601","959,292","1,019,810","1,042,158","1,067,309","1,076,443","1,093,733","1,120,526","1,148,611","1,148,411","1,141,236","1,238,413","1,245,835","1,132,667","1,174,307","1,206,235","1,209,335","1,175,656","1,211,461","1,225,189","1,166,061","1,111,085","1,153,454","1,128,276","1,112,887","1,090,993","1,101,991","1,084,805","1,071,758","1,068,138","1,106,474","1,093,769","1,037,607","1,085,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"227,460","241,691","248,275","252,510","263,813","258,824","275,598","260,368","280,467","314,298","322,784","333,934","342,383","347,660","351,944","345,409","365,130","361,105","383,374","397,177","360,216","337,187","316,999","323,449","359,490","370,198","352,552","329,241","341,806","351,807","350,590","355,349","349,443","367,830","371,882","391,902","397,805","367,605","391,346","395,931","410,631","357,848","381,613","379,721","401,702","422,087","441,656","469,914","456,669","426,785","404,796","403,448","396,340","405,014","403,901","402,293","404,505","420,958","434,632","444,389","428,108","433,522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"826,470","858,960","902,745","930,073","967,053","1,000,435","1,089,558","1,137,963","1,211,104","1,281,029","1,342,676","1,403,918","1,480,269","1,551,096","1,501,847","1,458,782","1,558,503","1,633,866","1,665,364","1,730,521","1,667,382","1,629,516","1,592,073","1,668,995","1,800,225","1,797,051","1,879,993","1,966,269","2,044,646","2,064,537","2,064,098","2,053,070","2,146,014","2,234,705","2,242,614","2,361,657","2,449,409","2,428,449","2,474,626","2,494,294","2,612,315","2,551,460","2,575,450","2,594,351","2,668,617","2,702,237","2,650,024","2,686,308","2,698,571","2,555,588","2,755,615","2,628,241","2,537,213","2,555,302","2,600,012","2,593,370","2,617,015","2,573,226","2,682,002","2,653,419","2,468,156","2,627,564",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"159,415","154,763","164,872","170,619","172,006","169,405","180,786","185,106","191,968","192,560","191,117","195,302","203,742","202,197","204,358","206,515","210,442","210,359","230,012","237,989","222,373","236,161","234,682","230,477","259,557","300,438","303,900","302,940","306,556","319,110","312,939","322,894","329,126","332,142","342,000","350,175","353,238","359,732","347,752","375,585","381,565","407,370","401,218","400,838","404,459","409,142","416,023","437,978","444,397","435,403","473,968","526,250","550,014","593,045","642,009","608,671","584,102","634,449","663,571","683,930","626,222","703,928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,"307,836","314,944","327,421","334,977","347,076","348,616","389,146","385,223","422,750","455,912","487,481","496,173","509,525","522,129","518,540","525,658","554,831","556,876","556,658","545,126","507,068","477,613","492,029","502,801","506,451","499,912","482,525","495,732","535,116","533,925","533,802","542,836","531,594","560,302","585,367","613,636","644,490","658,015","674,687","664,584","667,989","664,390","675,942","685,709","697,628","704,826","721,474","757,842","796,063","778,851","867,437","863,373","852,900","872,098","878,298","857,511","870,192","872,802","908,614","906,442","863,488","897,959",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,"112,158","119,931","128,225","133,691","133,091","131,247","144,764","149,526","159,459","176,217","186,601","201,058","212,305","216,617","206,500","201,882","226,976","230,352","233,236","210,760","208,260","200,294","201,336","204,533","224,289","233,475","252,309","273,261","273,541","272,775","267,260","253,893","261,635","261,384","264,573","267,526","279,664","279,217","282,000","292,260","309,761","306,523","316,339","325,619","332,093","326,092","307,906","309,086","301,470","297,891","299,013","296,889","287,772","306,234","314,409","316,769","307,667","318,353","325,805","319,734","295,747","301,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,"1,301,938","1,361,749","1,460,847","1,501,224","1,538,414","1,569,751","1,667,786","1,768,292","1,841,016","1,896,202","1,977,939","1,970,817","2,079,998","2,122,047","1,981,582","1,883,779","2,070,578","2,005,608","2,020,375","2,032,650","2,042,226","2,026,137","2,064,991","2,087,571","2,184,942","2,137,379","2,200,878","2,276,016","2,293,960","2,354,785","2,262,857","2,290,889","2,372,204","2,381,582","2,491,671","2,487,290","2,488,065","2,502,221","2,459,977","2,574,678","2,483,343","2,458,353","2,491,234","2,520,171","2,564,619","2,659,546","2,541,901","2,666,580","2,594,192","2,371,665","2,288,610","2,276,097","2,172,182","2,217,102","2,230,023","2,181,698","2,138,630","2,087,829","2,191,848","2,096,958","1,891,493","1,999,786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,"328,439","340,085","376,092","370,467","365,774","353,197","375,974","407,731","436,306","429,135","458,694","469,511","501,736","477,784","476,488","459,396","508,860","473,306","475,173","480,612","480,615","472,741","465,226","472,744","474,648","466,444","454,881","485,504","510,363","535,009","597,445","590,778","587,579","602,796","590,989","582,688","605,377","644,523","636,391","640,158","662,696","661,741","659,860","661,104","685,076","685,556","692,403","715,812","677,716","644,240","653,501","671,358","669,071","671,690","680,954","679,920","671,585","682,460","701,589","737,292","698,030","738,952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,"90,994","104,789","112,985","123,243","133,731","130,174","144,957","150,718","163,400","176,999","190,122","201,661","217,655","233,459","233,766","238,093","250,239","256,716","282,200","296,498","291,313","286,208","290,160","300,667","300,567","302,688","303,314","330,578","353,306","389,011","410,370","421,560","436,190","460,324","499,559","514,831","560,931","565,908","583,778","606,178","625,646","632,923","626,630","652,214","685,413","704,988","744,554","733,122","697,155","650,982","698,341","688,096","685,069","703,937","707,718","696,210","726,264","756,943","775,984","778,610","709,106","761,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,"2,989,032","3,093,838","3,238,540","3,305,923","3,382,126","3,664,673","3,867,170","3,955,831","4,052,442","4,200,652","4,303,439","4,251,263","4,269,847","4,419,080","4,128,073","3,925,249","4,224,994","4,195,220","4,195,842","3,972,800","3,863,274","3,673,745","3,529,658","3,353,921","3,403,950","3,508,528","3,554,662","3,658,508","3,748,830","3,771,096","3,768,938","3,703,136","3,788,665","3,813,730","3,752,701","3,791,091","3,940,339","4,013,223","3,939,102","4,061,177","4,138,665","4,021,810","4,031,386","4,163,543","4,261,831","4,153,196","3,873,242","3,958,014","3,874,866","3,699,342","3,875,285","3,760,569","3,587,043","3,723,924","3,842,351","3,840,257","3,768,683","3,776,809","3,948,600","3,847,125","3,357,012","3,542,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,"2,994,711","2,898,735","3,036,395","3,113,988","3,215,365","3,369,016","3,539,868","3,543,981","3,710,053","3,856,077","3,932,645","3,871,518","4,125,705","4,218,370","4,198,106","3,979,902","4,208,900","4,198,403","4,275,771","4,261,990","3,950,811","3,848,330","3,507,765","3,444,507","3,646,301","3,622,387","3,591,701","3,708,183","3,844,211","3,953,736","3,822,978","3,821,363","3,864,860","3,917,038","4,026,924","4,109,184","4,196,129","4,180,825","4,080,012","4,245,853","4,273,427","4,010,965","3,954,607","4,020,592","4,054,623","4,081,428","3,921,590","4,049,461","3,999,754","3,665,920","3,788,071","3,755,715","3,615,217","3,684,994","3,792,274","3,694,502","3,656,637","3,601,824","3,743,886","3,620,569","3,389,454","3,541,951",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,"580,906","582,692","692,041","768,636","802,725","774,367","744,879","763,519","843,549","886,447","939,226","965,680","1,019,204","1,024,152","1,064,042","1,070,091","1,162,766","1,224,894","1,266,603","1,322,376","1,213,993","1,248,960","1,318,075","1,316,946","1,322,507","1,297,798","1,203,182","1,256,837","1,291,311","1,325,070","1,393,309","1,321,377","1,337,475","1,396,903","1,402,103","1,376,001","1,438,055","1,444,227","1,449,160","1,432,209","1,486,799","1,508,230","1,458,526","1,488,461","1,477,461","1,527,097","1,566,694","1,572,521","1,582,452","1,491,763","1,579,519","1,577,612","1,562,906","1,615,355","1,682,546","1,624,111","1,623,637","1,646,043","1,714,460","1,684,194","1,579,834","1,651,690",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,"470,579","485,140","509,385","527,201","578,504","591,834","630,433","646,405","691,620","733,064","752,924","796,879","837,435","854,962","837,588","867,638","885,915","885,093","951,139","977,131","945,029","939,039","905,941","868,020","936,508","913,873","895,457","940,455","991,005","999,506","993,039","1,026,227","1,019,290","1,038,599","1,053,488","1,059,502","1,103,336","1,114,829","1,125,373","1,150,420","1,135,473","1,043,441","1,038,743","1,017,177","1,012,895","1,043,014","1,077,540","1,062,793","1,047,183","1,012,534","981,669","1,007,450","978,566","996,837","994,011","972,674","990,237","1,044,122","1,024,955","1,034,818","992,089","1,047,758",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,"3,253,214","3,146,037","3,255,423","3,391,013","3,588,928","3,731,977","3,831,882","3,816,103","3,959,290","3,982,119","4,106,916","4,044,955","4,187,795","4,294,356","4,124,018","3,913,887","4,164,173","4,127,190","4,128,436","4,249,658","3,996,299","3,809,830","3,363,346","3,377,212","3,604,664","3,434,064","3,378,296","3,551,982","3,713,946","3,738,812","3,647,112","3,584,645","3,684,806","3,755,566","3,829,642","3,888,467","3,923,633","3,889,569","3,730,911","3,770,848","3,942,074","3,849,655","3,911,083","3,961,080","4,008,376","4,035,404","3,908,855","3,963,065","3,942,347","3,625,844","3,755,384","3,752,574","3,644,363","3,855,410","3,983,861","3,897,600","3,761,174","3,766,978","3,932,825","3,818,299","3,411,392","3,633,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,"187,082","172,905","180,862","180,600","178,156","173,485","175,290","193,450","197,936","210,703","222,536","235,513","236,763","231,946","215,591","206,221","215,504","223,147","212,617","201,339","185,615","175,209","174,887","180,973","192,232","204,275","206,204","215,862","223,279","216,864","214,939","220,203","246,532","202,715","241,346","230,325","220,140","217,889","226,678","226,813","205,766","204,161","203,880","219,115","216,892","210,046","200,878","198,328","194,318","194,796","195,359","185,400","183,353","196,957","203,859","202,819","185,374","182,551","195,620","190,565","175,714","185,958",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,"489,216","507,093","540,137","561,023","560,524","554,319","593,446","603,092","654,373","699,204","745,729","779,638","834,960","886,118","858,642","840,874","964,613","1,000,303","994,484","984,487","997,901","1,002,177","973,134","1,006,503","1,069,330","1,076,310","1,142,219","1,178,512","1,235,317","1,243,836","1,269,960","1,294,733","1,311,056","1,368,980","1,369,400","1,426,887","1,465,968","1,514,026","1,561,047","1,567,482","1,614,128","1,563,022","1,601,989","1,607,730","1,712,248","1,684,154","1,693,408","1,670,947","1,637,705","1,572,770","1,665,082","1,619,188","1,571,379","1,600,681","1,642,621","1,661,307","1,655,809","1,646,019","1,672,656","1,637,694","1,531,476","1,629,835",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,"128,835","131,556","136,645","140,408","143,784","140,065","146,362","145,670","153,321","159,805","168,792","170,183","179,190","176,823","172,589","181,948","195,374","196,832","205,651","204,965","190,687","178,760","191,238","185,488","188,704","194,819","195,032","195,204","205,416","214,315","220,217","216,736","219,688","233,039","240,112","243,598","256,639","245,398","243,915","248,864","263,270","255,811","275,235","279,620","288,818","306,348","311,156","330,884","353,531","363,063","377,425","378,093","375,827","390,623","393,914","389,826","388,011","393,912","406,506","405,637","396,725","410,173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,"962,617","978,121","1,015,575","1,062,187","1,088,445","1,137,343","1,231,562","1,236,057","1,284,591","1,340,773","1,365,610","1,371,116","1,473,992","1,614,086","1,578,503","1,614,225","1,720,063","1,779,374","1,762,976","1,800,371","1,724,916","1,693,019","1,611,851","1,660,254","1,737,534","1,711,499","1,700,016","1,712,673","1,777,007","1,829,468","1,804,944","1,803,881","1,849,079","1,882,954","1,933,445","1,951,894","2,059,423","2,036,478","2,118,307","2,163,552","2,197,309","2,209,605","2,235,042","2,252,846","2,282,706","2,341,365","2,332,635","2,345,221","2,283,920","2,087,008","2,251,227","2,197,138","2,081,680","2,136,575","2,204,087","2,178,242","2,205,742","2,143,867","2,231,889","2,170,234","2,038,227","2,196,073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,"4,416,216","4,447,880","4,640,675","4,894,089","5,012,683","5,212,184","5,557,255","5,879,030","6,268,911","6,656,323","6,921,781","7,233,774","7,623,194","8,241,366","8,093,721","7,511,439","7,835,920","8,475,779","8,941,144","9,307,928","9,385,532","9,147,369","8,471,165","8,406,461","8,946,242","9,011,817","9,007,599","9,240,071","9,811,771","10,093,725","10,091,766","10,094,638","10,253,144","10,350,893","10,663,278","10,811,073","11,579,042","11,984,538","12,161,298","11,788,094","12,141,591","11,942,555","12,241,015","12,028,703","12,074,331","11,539,443","11,677,434","11,779,336","11,263,775","10,881,930","11,604,315","11,828,229","11,861,159","12,634,137","12,624,186","12,756,562","12,989,074","13,172,635","14,017,474","14,240,883","13,495,525","14,358,679",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,"303,229","300,811","310,319","311,815","334,525","339,504","350,834","345,267","365,623","395,838","397,019","415,199","428,177","457,776","473,666","480,756","510,233","486,089","510,695","526,397","504,574","478,203","467,638","491,810","504,008","500,434","470,786","462,389","526,305","537,620","538,104","568,042","554,346","579,508","589,907","640,342","670,541","684,793","707,959","699,762","744,480","713,979","693,795","704,447","735,427","762,159","779,275","781,023","768,036","741,639","752,599","789,360","785,062","820,176","793,265","796,198","805,381","824,964","842,275","853,861","827,201","847,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,"851,297","854,600","883,702","939,691","969,280","1,046,094","1,116,959","1,137,190","1,197,529","1,237,230","1,279,028","1,322,363","1,375,395","1,435,070","1,382,349","1,358,994","1,443,835","1,486,224","1,515,163","1,568,370","1,530,854","1,514,259","1,501,050","1,559,137","1,636,831","1,670,500","1,756,943","1,847,217","1,921,950","1,965,088","1,969,215","1,975,083","2,000,648","2,075,789","2,099,517","2,167,244","2,221,828","2,219,906","2,245,041","2,308,982","2,405,827","2,337,547","2,370,458","2,442,514","2,567,450","2,642,157","2,581,074","2,643,190","2,544,220","2,428,018","2,531,462","2,422,369","2,357,407","2,425,451","2,481,948","2,438,372","2,417,874","2,399,720","2,498,105","2,457,979","2,269,786","2,440,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,"68,554","71,941","74,781","74,605","72,070","83,090","90,907","94,557","100,490","106,584","113,222","116,968","123,917","126,434","116,837","114,356","131,790","129,325","134,455","131,782","125,793","120,672","115,117","123,272","132,836","134,538","128,263","137,510","144,630","142,529","127,389","133,727","139,627","137,459","136,875","134,056","141,121","145,799","137,295","135,030","148,507","148,858","149,731","152,335","162,653","161,183","157,716","154,815","146,384","156,626","155,651","151,566","129,390","137,363","140,374","140,573","135,427","134,319","138,623","136,861","125,703","128,767",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,"807,277","823,383","860,062","900,608","961,435","996,454","1,058,961","1,112,762","1,210,234","1,296,162","1,294,145","1,320,979","1,462,402","1,498,556","1,494,231","1,458,166","1,506,955","1,524,554","1,616,207","1,667,783","1,636,821","1,762,292","1,667,861","1,624,957","1,724,697","1,724,684","1,758,552","1,810,437","1,947,741","2,013,008","2,078,810","2,072,434","2,105,928","2,105,459","2,094,429","2,141,400","2,117,820","2,149,761","2,229,278","2,316,863","2,248,092","2,029,311","1,876,320","1,880,774","1,943,207","1,977,992","2,084,284","2,049,914","2,041,958","2,031,621","2,007,857","2,052,167","2,011,630","2,034,238","2,007,524","1,994,287","2,053,071","2,072,422","2,052,320","2,077,910","1,777,746","1,896,755",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,"854,308","877,011","917,963","940,067","974,857","1,030,533","1,091,996","1,137,123","1,184,174","1,248,392","1,289,050","1,293,197","1,287,690","1,354,483","1,341,660","1,341,892","1,372,938","1,437,713","1,501,615","1,468,965","1,463,981","1,421,298","1,404,352","1,419,852","1,487,633","1,501,131","1,425,549","1,404,088","1,510,126","1,516,590","1,485,607","1,527,216","1,524,772","1,587,871","1,633,387","1,698,061","1,764,572","1,771,899","1,751,166","1,846,061","1,878,161","1,853,341","1,894,796","1,868,851","1,892,938","1,959,179","1,867,716","1,902,605","1,895,114","1,763,753","1,809,687","1,797,840","1,738,237","1,833,141","1,889,333","1,813,779","1,800,528","1,817,246","1,896,111","1,846,976","1,707,754","1,763,211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,"617,977","648,667","656,276","689,629","729,022","753,923","771,519","739,838","807,461","796,648","795,739","779,534","828,980","845,774","841,728","790,364","826,694","819,746","807,745","823,762","788,175","769,650","713,139","681,588","717,840","665,396","668,346","681,320","726,601","748,561","701,782","671,304","684,688","707,438","734,061","736,423","709,036","707,259","734,561","717,413","736,985","730,823","755,537","711,812","734,849","737,053","760,310","789,826","776,230","705,848","751,283","737,858","730,379","750,819","780,633","767,983","761,217","752,449","829,829","828,270","802,731","853,082",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,"141,355","154,474","173,407","163,153","163,391","172,698","180,286","205,150","225,588","250,536","255,480","268,453","286,868","283,507","278,885","277,367","300,313","325,289","354,800","378,316","362,253","352,782","363,372","329,172","351,234","357,215","335,938","363,821","370,702","382,037","399,316","388,124","421,423","406,877","407,936","403,151","415,040","414,704","420,795","425,120","427,791","438,258","438,549","461,215","450,647","456,839","478,077","523,640","538,379","523,575","540,658","557,054","550,307","538,312","534,835","505,423","503,133","532,925","555,944","545,456","500,355","504,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,"45,033,606","45,684,153","47,773,067","49,605,630","51,766,732","53,965,864","56,960,904","58,916,870","62,401,694","65,578,920","67,720,114","69,163,993","72,677,208","75,723,857","73,914,525","71,953,031","75,966,653","77,946,963","79,978,066","80,835,915","78,047,519","76,093,624","73,006,067","72,879,382","76,510,942","76,406,632","76,592,009","78,960,216","82,711,222","84,731,883","84,455,270","84,378,989","85,731,631","87,294,850","89,010,814","90,994,738","94,005,051","94,656,420","94,933,387","96,525,739","98,694,631","96,039,152","97,542,346","97,834,756","100,013,680","100,109,225","99,387,714","100,915,641","98,764,011","93,947,040","97,499,916","96,873,894","94,369,947","97,114,706","98,290,293","97,392,513","97,375,438","97,661,225","101,239,487","100,450,598","92,995,869","97,810,007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,