Climate action plan,climate\_action\_plan\_21 ,Does the state have a plan that details steps it will take to address climate change?  (0 = no; 1 = yes),Center for Climate and Energy Solutions; Morey and Kirsch (2016): Retail Choice in Electricity: What have we Learned in 20 Years?. EMRF. 
Community Solar,community\_solar,Does a state have a community solar program? (0=no; 1=yes),National Renewable Energy Laboratory (NREL)
CA Car Emissions Standard,environment\_CA\_car\_emissions\_standards\_21,Does the state adopt California's Car emissions standards (which are more stringent than the federal level)? (0 = no; 1 = yes), Maryland Department of the Environment. States adopting California's clean car standards; Wikipedia ``United States vehicle emission standards''
Greenhouse Gas Cap,environment\_ghg\_cap\_21,Does the state have a binding cap on greenhouse gas emissions in the utility sector (eg; RGGI; WCI)?  (0 = no; 1 = yes),C2ES; Jonathan L. Ramseur: The regional greenhouse gas initiative: Lessons learned and issues for policy makers; California Environmental Protection Agency: Assembly Bill 32 overview.
State preemption of local gas bans,environment\_preemption\_naturalgasbans,Does the state prohibit local bans on gas hookups in buildings? 0=No; 1=Yes,NPR All Things Considered: ``As Cities Grapple With Climate Change; Gas Utilities Fight To Stay In Business''
Public Benefit Fund,environment\_publicbenefit\_funds\_21,Does the state have a public benefit fund for renewable energy and energy efficiency?  (0 = no; 1 = yes),C2ES; American Council for an Energy Efficient Economy (ACEEE); Database of State Incentives for Renewables and Efficiency (DSIRE); National Governors Association: Clean electricity: Public benefits funds.
Fuel generation mix disclosure,fgd\_21,Does the state require electricity providers to disclose their fuel sources? (0 = no; 1 = yes),DSIRE; Prasad; M. and Munch: S. State-level renewable electricity policies and reductions in carbon emissions. (Energy Policy; 2012)
Emissions performance standards,ghg\_standards\_21,Does the state have performance standards designed to reduce CO2 emissions?  (0 = no; 1 = yes),C2ES; Morey and Kirsch: Retail Choice in Electricity: What have we Learned in 20 Years?. (EMRF; 2016)
On-site renewable generation,netmeter\_yearadopted\_21,0 = net metering not adopted; 1 = net metering or comparable policy (feed-in tariff) adopted,Correlates of State Policy Project (CSPP)
PACE authorization,pace\_21,Has the state authorized Property Assessed Clean Energy programs? (0=no; 1=yes),PACENation; DSIRE
Environmental Building Standards,public\_building\_standards,Does the state have energy efficiency and other green building requirements for public buildings? (0=no; 1=yes),CSPP
Complete Streets Policies,w\_complete\_streets\_21 ,Does the state have complete streets policies? (0 = none; 1 = plan/design guide; 2 = laws/ordinances/resolutions/directives) ,SmartGrowth America
Energy efficiency target,w\_ee\_21,Does the state have energy efficiency targets? (0 = none; 1 = voluntary/unenforceable; 2 = mandatory),C2ES; Morey and Kirsch: Retail Choice in Electricity: What have we Learned in 20 Years?. (EMRF; 2016)
Solar Tax Credit,w\_Environment\_Solar\_TaxCredit\_21,Does the state have a tax credit for residential solar installations? (0 = No legislation; 1 = State approved local option; 2 = State mandated credit or exemption system),sunrun.com; energysage.com; Wholesale Solar; Lexis Nexis/State Governments: State statutes
Environmental Policy Act,w\_environment\_state\_nepas\_21,Does the state have its own version of the federal National Environmental Policy Act? (0 = none; 1 = applies to state governments only; 2 =also applies to  local governments and/or private entities) ,ballotpedia.org;  Marchman: ``Little NEPAs:'' State equivalents to the National Environmental Policy act in Indiana; Minnesota; and Wisconsin (2012).Lexis Nexis/State Governments: State statutes Yost: NEPA's progeny: State environmental policy acts. (News and Analysis; 3(1) 1973)
Greenhouse gas registry/ reporting,w\_gg\_rr\_21,Does the state require all power plants to register and record their emissions? (0 = none; 1 = voluntary; 2 = mandatory) ,C2ES; Morey and Kirsch: Retail Choice in Electricity: What have we Learned in 20 Years?. (EMRF; 2016)
GHG target,w\_ghg\_targets\_21,Does the state have a goal for emission reduction levels by a certain time period? (0 = none; 1 = executive order; 2 = statutory/public utilty commission order),C2ES; Morey and Kirsch: Retail Choice in Electricity: What have we Learned in 20 Years?. (EMRF; 2016)
Low-income energy efficiency programs,w\_low\_income\_ee\_21,Does the state have energy efficiency programs for low-income individuals? (0 = none; 1 = legislative/regulatory requirements; utility cost-effectivenesss rules established; OR levels of spending on low-income EE less than 6.50 USD per low-income resident; 2 = legislative/regulatory requirements and utility cost-effectivenesss rules established; or levels of spending on low-income EE less than 13 USD per low-income resident),ACEEE
Mandatory green power option,w\_mgpo\_21,Does the state require utilities to offer customers electricity generated from renewable sources? (0 = none; 1 = voluntary; 2 = mandatory),C2ES; Morey and Kirsch: Retail Choice in Electricity: What have we Learned in 20 Years?. (EMRF; 2016)
Electric decoupling,w4\_electric\_decoupling\_21,Does the state compensate utilities for selling less electricity? (0 = none; 1 = performance based incentives; 2 = non-decoupling energy efficiency adjustment; 3 = decoupled) ,C2ES; Morey and Kirsch: Retail Choice in Electricity: What have we Learned in 20 Years?. (EMRF; 2016)
Renewable Portfolio Standard,w4\_environment\_state\_rps\_21,Does a state have an RPS? (0 = no target; 1 = voluntary or less than 1percent; 2 = mandatory less than 100percent; 3 = mandatory 100percent) ,National Council of State Legislatures (NCSL)
Gas decoupling,w4\_gas\_decoupling\_21,Does the state compensate utilities for selling less gas?  (0 = none; 1 = performance based incentives; 2 = non-decoupling energy efficiency adjustment; 3 = decoupled),C2ES; ACEEE; NCSL
Energy efficiency resource standard (continuous),x\_eers,What is the state's energy efficiency resource standard (EERS)? An EERS is a quantitative; long-term energy savings target for utilities that requires them to procure a percentage of their future electricity and natural gas needs using energy efficiency measures. (continuous percent),ACEEE
RPS target (binding only),x\_RPS\_targets\_bindingonly,What is the state's RPS target (enforceable standards only)? (continuous percent),DSIRE; Solomon and Zhou (2021): Renewable Portfolio Standards: Do Voluntary Goals vs. Mandatory Standards Make a Difference? (Review of Policy Research)
Gas tax,z\_gasoline\_tax,What is the state's gas tax level? ,Tax Foundation and American Petroleum Institute