Policy - short description,Code in policies dataset,Policy - longer description,Data sources,Primary Raw Data Source,Secondary Raw Data Source,Third Raw Data Source,Fourth Raw Data Source
Climate action plan,climate_action_plan_21 ,Does the state have a plan that details steps it will take to address climate change?  (0 = no; 1 = yes),Center for Climate and Energy Solutions; Morey and Kirsch (2016): Retail Choice in Electricity: What have we Learned in 20 Years?. EMRF. ,https://www.c2es.org/document/climate-action-plans/,Morey; M. J. & Kirsch; L. D. Retail Choice in Electricity: What have we Learned in 20 Years? (EMRF; 2016),,
Community Solar,community_solar,Does a state have a community solar program? (0=no; 1=yes),NREL,https://www.nrel.gov/docs/fy21osti/80246.pdf,https://www.nrel.gov/docs/fy18osti/70663.pdf,,
CA Car Emissions Standard,environment_CA_car_emissions_standards_21,Does the state adopt California's Car emissions standards (which are more stringent than the federal level)? (0 = no; 1 = yes)," Maryland Department of the Environment. States adopting CaliforniaÕs clean car standards; Wikipedia ""United States vehicle emission standards"" ", Maryland Department of the Environment. States adopting CaliforniaÕs clean car standards. https://mde.maryland.gov/programs/Air/MobileSources/Pages/states.aspx, https://en.wikipedia.org/wiki/United_States_vehicle_emission_standards,,
Greenhouse Gas Cap,environment_ghg_cap_21,Does the state have a binding cap on greenhouse gas emissions in the utility sector (eg; RGGI; WCI)?  (0 = no; 1 = yes),C2ES; Jonathan L. Ramseur: The regional greenhouse gas initiative: Lessons learned and issues for policy makers; California Environmental Protection Agency: Assembly Bill 32 overview.,https://www.c2es.org/content/market-based-state-policy/,Ramseur; Jonathan L. The regional greenhouse gas initiative: Lessons learned and issues for policy makers. http://fas.org/sgp/crs/misc/R41836.pdf; November 2014., California Environmental Protection Agency. Assembly Bill 32 overview. http://www.arb.ca.gov/cc/ab32/ab32.htm.,
State preemption of local gas bans,environment_preemption_naturalgasbans,Does the state prohibit local bans on gas hookups in buildings? 0=No; 1=Yes,"NPR All Things Considered: ""As Cities Grapple With Climate Change; Gas Utilities Fight To Stay In Business""",https://www.npr.org/2021/02/22/967439914/as-cities-grapple-with-climate-change-gas-utilities-fight-to-stay-in-business,,,
Public Benefit Fund,environment_publicbenefit_funds_21,Does the state have a public benefit fund for renewable energy and energy efficiency?  (0 = no; 1 = yes),C2ES; American Council for an Energy Efficient Economy (ACEEE); Database of State Incentives for Renewables and Efficiency (DSIRE); National Governors Association: Clean electricity: Public benefits funds.,Center for Climate and Energy Solutions. Public benefit funds. https://www.c2es.org/document/public-benefit-funds/,https://www.aceee.org/files/proceedings/2004/data/papers/SS04_Panel5_Paper14.pdf,Database of State Incentives for Renewables & Efficiency (DSIRE). Public benefits funds. http://www.dsireusa.org/solar/solarpolicyguide/?id=22.,National Governors Association. Clean electricity: Public benefits funds. http://www.nga.org/files/live/sites/NGA/files/pdf/1008CLEANENERGYELECTRICITYFUNDS.PDF; 2010.
Fuel generation mix disclosure,fgd_21,Does the state require electricity providers to disclose their fuel sources? (0 = no; 1 = yes),DSIRE; Prasad; M. and Munch: S. State-level renewable electricity policies and reductions in carbon emissions. (Energy Policy; 2012),DSIRE ,Prasad; M. & Munch; S. State-level renewable electricity policies and reductions in carbon emissions. (Energy Policy; 2012),,
Emissions performance standards,ghg_standards_21,Does the state have performance standards designed to reduce CO2 emissions?  (0 = no; 1 = yes),C2ES; Morey and Kirsch: Retail Choice in Electricity: What have we Learned in 20 Years?. (EMRF; 2016),https://www.c2es.org/document/standards-for-electricity-ghg-emissions/,Morey; M. J. & Kirsch; L. D. Retail Choice in Electricity: What have we Learned in 20 Years? (EMRF; 2016),,
On-site renewable generation,netmeter_yearadopted_21,"0 = net metering not adopted
1 = net metering or comparable policy (feed-in tariff) adopted",Correlates of State Policy Project (CSPP),,,,
PACE authorization,pace_21,Has the state authorized Property Assessed Clean Energy programs? (0=no; 1=yes),PACENation; DSIRE,PACENation,DSIRE,,
Environmental Building Standards,public_building_standards,Does the state have energy efficiency and other green building requirements for public buildings? (0=no; 1=yes),CSPP,,,,
Complete Streets Policies,w_complete_streets_21 ,Does the state have complete streets policies? (0 = none; 1 = plan/design guide; 2 = laws/ordinances/resolutions/directives) ,SmartGrowth America,NCSC Atlas,,,
Energy efficiency target,w_ee_21,Does the state have energy efficiency targets? (0 = none; 1 = voluntary/unenforceable; 2 = mandatory),C2ES; Morey and Kirsch: Retail Choice in Electricity: What have we Learned in 20 Years?. (EMRF; 2016),https://www.c2es.org/document/energy-efficiency-standards-and-targets/,Morey; M. J. & Kirsch; L. D. Retail Choice in Electricity: What have we Learned in 20 Years? (EMRF; 2016),,
Solar Tax Credit,w_Environment_Solar_TaxCredit_21,Does the state have a tax credit for residential solar installations? (0 = No legislation; 1 = State approved local option; 2 = State mandated credit or exemption system),sunrun.com; energysage.com; Wholesale Solar; Lexis Nexis/State Governments: State statutes,https://www.sunrun.com/solar-lease/cost-of-solar/state-rebates,https://www.energysage.com/solar/cost-benefit/solar-incentives-and-rebates/,Wholesale Solar. Solar incentives by state. http://www.wholesalesolar.com/states.html., Lexis Nexis/State Governments. State statutes.
Environmental Policy Act,w_environment_state_nepas_21,Does the state have its own version of the federal National Environmental Policy Act? (0 = none; 1 = applies to state governments only; 2 =also applies to  local governments and/or private entities) ,ballotpedia.org;  Marchman. Òlittle NEPAsÓ: State equivalents to the National Environmental Policy act in Indiana; Minnesota; and Wisconsin (2012).Lexis Nexis/State Governments: State statutes Yost: NEPAÕs progeny: State environmental policy acts. (News and Analysis; 3(1) 1973),https://ballotpedia.org/State_environmental_policy_acts, Marchman; Patrick. Òlittle NEPAsÓ: State equivalents to the National Environmental Policy act in Indiana; Minnesota; and Wisconsin; 2012.,Lexis Nexis/State Governments. State statutes.,Yost; Nicholas C. NEPAÕs progeny: State environmental policy acts. News and Analysis; 3(1); 1973.
Greenhouse gas registry/ reporting,w_gg_rr_21,Does the state require all power plants to register and record their emissions? (0 = none; 1 = voluntary; 2 = mandatory) ,C2ES; Morey and Kirsch: Retail Choice in Electricity: What have we Learned in 20 Years?. (EMRF; 2016),C2ES (2017),Morey; M. J. & Kirsch; L. D. Retail Choice in Electricity: What have we Learned in 20 Years? (EMRF; 2016),,
GHG target,w_ghg_targets_21,Does the state have a goal for emission reduction levels by a certain time period? (0 = none; 1 = executive order; 2 = statutory/public utilty commission order),C2ES; Morey and Kirsch: Retail Choice in Electricity: What have we Learned in 20 Years?. (EMRF; 2016),https://www.c2es.org/document/greenhouse-gas-emissions-targets/,Morey; M. J. & Kirsch; L. D. Retail Choice in Electricity: What have we Learned in 20 Years? (EMRF; 2016),,
Low-income energy efficiency programs,w_low_income_ee_21,Does the state have energy efficiency programs for low-income individuals? (0 = none; 1 = legislative/regulatory requirements; utility cost-effectivenesss rules established; OR levels of spending on low-income EE >= $6.50 per low-income resident; 2 = legislative/regulatory requirements and utility cost-effectivenesss rules established; or levels of spending on low-income EE >= $13 per low-income resident),ACEEE,,,,
Mandatory green power option,w_mgpo_21,Does the state require utilities to offer customers electricity generated from renewable sources? (0 = none; 1 = voluntary; 2 = mandatory),C2ES; Morey and Kirsch: Retail Choice in Electricity: What have we Learned in 20 Years?. (EMRF; 2016),https://www.c2es.org/document/green-pricing-programs/,Morey; M. J. & Kirsch; L. D. Retail Choice in Electricity: What have we Learned in 20 Years? (EMRF; 2016),,
Electric decoupling,w4_electric_decoupling_21,Does the state compensate utilities for selling less electricity? (0 = none; 1 = performance based incentives; 2 = non-decoupling energy efficiency adjustment; 3 = decoupled) ,C2ES; Morey and Kirsch: Retail Choice in Electricity: What have we Learned in 20 Years?. (EMRF; 2016),https://www.c2es.org/document/decoupling-policies/,Morey; M. J. & Kirsch; L. D. Retail Choice in Electricity: What have we Learned in 20 Years? (EMRF; 2016),,
Renewable Portfolio Standard,w4_environment_state_rps_21,Does a state have an RPS? (0 = no target; 1 = voluntary or <1%; 2 = mandatory <100%; 3 = mandatory 100%) ,National Council of State Legislatures (NCSL),https://www.ncsl.org/research/energy/renewable-portfolio-standards.aspx,,,
Gas decoupling,w4_gas_decoupling_21,Does the state compensate utilities for selling less gas?  (0 = none; 1 = performance based incentives; 2 = non-decoupling energy efficiency adjustment; 3 = decoupled) ,C2ES; ACEEE; NCSL,https://www.c2es.org/document/decoupling-policies/,ACEEE Utility Business Model ,NCSL State Policies for Utility Investment in Energy Efficinecy ,
Energy efficiency resource standard (continuous),x_eers,What is the state's energy efficiency resource standard (EERS)? An EERS is a quantitative; long-term energy savings target for utilities that requires them to procure a percentage of their future electricity and natural gas needs using energy efficiency measures. (continuous percent),ACEEE,,,,
RPS target (binding only),x_RPS_targets_bindingonly,What is the state's RPS target (enforceable standards only)? (continuous percent),"DSIRE; Solomon and Zhou (2021): ""Renewable Portfolio Standards: Do Voluntary Goals vs. Mandatory Standards Make a Difference?"" (Review of Policy Research)",,,,
Gas tax,z_gasoline_tax,What is the state's gas tax level? ,Tax Foundation and American Petroleum Institute,,,,